ID, Competency Question (CQ) / Natural language sentence (fact) (FA) , Answer [for questions only] , IRI of MBCO most relevant classes/properties
CQ_CRO_1, What are the main properties of the electrode?, surface chemical composition ; surface area ; conductivity ; surface hydrophilicity ; exchange current rate ; tortuosity ;  porosity ; surface stability (towards modifications) , https://batcat.info/semantics/core#electrode ; https://batcat.info/semantics/core#has_property
CQ_CRO_2, What are the main properties of the electrolyte? , Composition (salts; solvents); purity; transport properties (viscosity; ionic conductivity); mass density, https://batcat.info/semantics/core#electrolyte ; https://batcat.info/semantics/core#has_property
CQ_CRO_3, What are the major time scales for process industry? (to classify various types of DTs), Industrial safety ; intermediate; planning , https://batcat.info/semantics/core#time_scale
CQ_CRO_4, What are the main components of a RFB? , Bipolar plates; Membranes; Carbon felt; Electrolyte , https://batcat.info/semantics/core#redox_flow_battery ; https://batcat.info/semantics/core#has_part
CQ_CRO_4.1, What are the main components of a LiB/NiB? , Active material ; Binder ; Percolant ; Slurry solvent; Electrode; Separator; Electrolyte; Collector; Battery cell; Casing; Coating layer; Full cell , https://batcat.info/semantics/core#lithium_ion_battery ; https://batcat.info/semantics/core#has_part
CQ_CRO_8, What are the high-level types of optimization problems that can benefit from logic-based approaches?,	Scheduling (e.g. of maintenance); Allocation of resources (e.g. machines/humans for tasks); Compatibility checks (e.g. between materials); Compliance (e.g. of a process with regulation); Process design (e.g. simulation / experiment); Process sequence validation (e.g. that the ordering of sub-processes does not break dependencies) , https://batcat.info/semantics/core#logic_based_problem
CQ_CRO_9, What are the main scales for processes in RFB?, Molecular scale; Fiber scale; Pore scale; Cell scale; Stack scale; Battery system scale; Energy system scale , https://batcat.info/semantics/core#rfb_length_scale
FA_CRO_3, Materials incompatibilities need to be pointed out (e.g. mixtures that are unsafe), n/a - fact, is_incompatible_with ; https://batcat.info/semantics/core#is_material_incompatible_with_material
CQ_DAT_3.2, What method is used to process the raw data (and obtain processed data)?, Conversion; extraction; incomplete dataset removal; incomplete dataset padding, https://batcat.info/semantics/core#has_data_processing_method ; https://batcat.info/semantics/core#has_data_processing_info ; https://batcat.info/semantics/core#data_processing_method 
CQ_DAT_4, What types of data quality evaluation methods (checks/guarantees) are available within BatCAT? , Human assessment ; Quality insurance procedures (e.g. regular calibration checks) ; Automated repeatability tests , https://batcat.info/semantics/core#data_quality_evaluation_method
CQ_DAT_5, What is the average value and error of property X over a certain set? , n/a - case-specific , https://batcat.info/semantics/core#data ; https://batcat.info/semantics/core#has_average ; https://batcat.info/semantics/core#has_error
CQ_DAT_7, What methods are available in BatCAT to quantify uncertainties in general?, Error propagation ; Error estimate via statistical methods, https://batcat.info/semantics/core#uncertainty_quantification_method
CQ_EXP_3.3, What are the high-level types of characterization needed for RFB or LiB?, Electrochemical characterization; Physicochemical characterization; Rheological characterization, https://batcat.info/semantics/core#electrochemical_characterization_technique; https://batcat.info/semantics/core#physicochemical_characterization_technique; https://batcat.info/semantics/core#rheological_characterization_technique
FA_EXP_1, A characterization technique involves a sample + some instrument (characterization device) and evaluates (as output) some physical quantities, , https://batcat.info/semantics/core#characterization_technique
CQ_MAN_3, What are the main properties of a sensor?, type/measured variable ; connection type (WIFI/Bluethooth; Optical fiber; wired electrical cable), https://batcat.info/semantics/core#sensor; https://batcat.info/semantics/core#observes ; https://batcat.info/semantics/core#property; https://batcat.info/semantics/core#has_connection ; https://batcat.info/semantics/core#connection 
CQ_MAN_3.2, What are the sensor types for on-line characterization of LIB?, Accelerometer;  Temperature sensor (Thermocouple); vibration sensor; Gas-detection sensor (CO / CO2 sensor); Power sensor (Power monitoring clip); pressure sensor, https://batcat.info/semantics/core#sensor
CQ_MAN_4, What are the main (manufacturing) quantities to monitor (process KPIs)?, Energy consumption; Equipment performance; Waste produced (amount); Product quality, https://batcat.info/semantics/core#manufacturing_process; https://batcat.info/semantics/core#has_process_kpi
CQ_MAN_5.1, What are the main ordered steps in the LIB/NIB manufacturing process? , Mixing ; Coating ; Drying ; Calendering ; Cutting ; Assemblying ; Filling ; Forming ; Degassing , https://batcat.info/semantics/core#lib_manufacturing_process_step
CQ_MAN_5.2, What are the main ordered steps in the RFB manufacturing process? , Stack assembly ; Stack compression ; Stack sealing (glueing) ; Tanks assemblying , https://batcat.info/semantics/core#rfb_manufacturing_process_step
CQ_MAN_8.1, What are the variables to evaluate (=process KPIs) the LIB/NIB manufacturing process? , Scrap rate; Production cost per unit, https://batcat.info/semantics/core#lib_manufacturing_process; https://batcat.info/semantics/core#has_process_kpi
CQ_MAN_8.2, What are the variables to evaluate (=process KPIs) the RFB manufacturing process?, Production performance; Production cost per unit; Throughput failure rate, https://batcat.info/semantics/core#rfb_manufacturing_process; https://batcat.info/semantics/core#has_process_kpi
CQ_MAN_9.1, What are the LIB/NIB battery product main properties (KPIs)?, Full cell Initial performance; Full cell Ageing; Full cell Safety ,  https://batcat.info/semantics/core#lithium_ion_battery; https://batcat.info/semantics/core#has_product_kpi
CQ_MAN_9.2, What are the RFB battery product main properties (KPIs)?, Full cell efficiency ; Full cell Capacity ; Full cell Durability ,  https://batcat.info/semantics/core#redox_flow_battery; https://batcat.info/semantics/core#has_product_kpi
[CQ_CRO_10], What are the main electrochemical components in LiB/NiB manufacturing processes?, Active material ; Binder ; Percolant ; Slurry solvent; Electrode; Separator; Electrolyte; Collector; Battery cell; Casing; Coating layer; Full cell, IRI
[CQ_EXP_3], , , 
[CQ_EXP_3.2], , , 
